,0,1,2,3,4,5,6,7,8,9
0,meet,public,minist,health,consid,urg,demand,race,hospit,concern
1,face,court,charg,man,peopl,murder,accus,pair,attempt,trial
2,crash,plane,fatal,highway,kill,road,probe,head,truck,car
3,polic,investig,cannabi,probe,death,station,crop,offic,drug,murder
4,man,charg,murder,jail,stab,miss,hospit,polic,convict,hijack
5,council,resist,eba,roster,pressur,10,polanski,pm,pms,png
6,warn,ban,dope,replac,appeal,say,hear,public,cup,acb
7,new,win,claim,cup,world,ban,continu,court,war,miss
8,kill,china,earthquak,death,toll,dead,north,rise,palestinian,korea
9,charg,stab,polic,man,assault,sydney,vic,murder,court,face
10,super,12,open,win,helen,waratah,st,darwin,season,match
11,patterson,health,say,minist,meet,wast,childish,display,time,news
12,missil,defenc,pm,crean,say,inflammatori,report,australian,comment,aust
13,eas,milan,rain,water,restrict,ac,visit,compo,rule,bid
14,investig,underway,spill,sa,radioact,bodi,resign,qanta,parti,rumour
15,award,abbott,rise,govt,honour,defend,scientist,aus,announc,worker
16,peac,bring,monitor,toppl,fast,afloat,say,iraq,iraqi,peel
17,bushfir,probe,inquiri,victim,council,coroni,centrelink,job,renew,cover
18,flood,flash,million,cost,loss,nsw,ses,qanta,busi,firefight
19,nightclub,brawl,cairn,injur,kiwi,report,rhode,island,durban,mccullum
20,govt,nsw,vic,opp,plan,qld,sa,nt,new,claim
21,water,support,council,restrict,highlight,public,plan,resolut,school,turkey
22,hand,green,parti,bradman,baggi,candid,dump,criticis,big,taipan
23,rain,drought,break,farmer,fall,qld,bring,need,welcom,relief
24,road,fund,hope,driver,championship,reopen,flood,improv,today,close
25,iraq,war,say,action,wheat,resolut,uk,blair,tell,downer
26,rain,water,boost,storag,suppli,help,restrict,offer,park,paroo
27,plan,council,welcom,fund,offer,park,land,secur,decis,lament
28,job,union,seek,cut,air,fear,push,wa,defenc,war
29,price,oil,petrol,rise,fuel,high,defend,low,lower,properti
